id,TRIAL,Trial_env,ENV,Trial_env,REP,GEN,sve,Above_median_BLUP,Company,PLOT.WT,COB,MOIST,Yield,TEMP_v3,RH_v3,VPD_v3,TEMP_veg,RH_veg,VPD_veg,TEMP_flow,RH_flow,VPD_flow,TEMP_gf,RH_gf,VPD_gf
26,LT,4,AYVALIK2018,,1,DKC6589,LTAYVALIK2018DKC65891,NA,NA,NA,NA,NA,NA,22.5,59,1111.005522,25.2,58.2,1331.461611,28.2,56.9,1636.752826,28.5,53.2,1808.392047
27,LT,4,AYVALIK2019,,1,DKC6589,LTAYVALIK2019DKC65891,NA,NA,NA,NA,NA,NA,20.1,65.4,809.7645226,26.4,56.9,1473.596931,26.6,52.4,1646.6684,28.1,48.4,1948.220556
28,LT,4,MANISA2015,,1,DKC6589,LTMANISA2015DKC65891,BM,DEKALB,15.4,12.8,18.3,18.2248,21.6,51.7,1239.220546,23.7,58.4,1211.750646,28.8,42.8,2248.882322,28.6,49.8,1951.013707
29,LT,4,MANISA2016,,1,DKC6589,LTMANISA2016DKC65891,BM,DEKALB,13.1,9.7,12.6,17.1741,19.7,58,958.9777322,26.9,47.6,1844.857003,29,42.8,2274.957698,28.8,49.1,2001.190738
30,LT,4,MANISA2017,,1,DKC6589,LTMANISA2017DKC65891,BM,DEKALB,13.6,9.3,11.9,18.05201196,20.8,54.1,1121.454446,25.7,52.3,1565.008969,28.9,43.2,2246.069921,28.5,47.2,2040.237181
31,LT,4,MANISA2018,,1,DKC6589,LTMANISA2018DKC65891,NA,NA,NA,NA,NA,NA,22.9,54.7,1257.549619,25.3,54.8,1448.317966,28.5,49.2,1962.95547,29,49.5,2008.48538
32,LT,4,MANISA2019,,1,DKC6589,LTMANISA2019DKC65891,NA,NA,NA,NA,NA,NA,21.4,51.9,1219.131868,26.7,51.7,1680.708219,27.7,45.9,1995.708554,29.1,43.6,2256.092437
33,LT,1,MERSIN2015,,1,DKC6589,LTMERSIN2015DKC65891,BM,DEKALB,13.2,12.2,18.2,15.74799468,22.7,62.2,1036.753392,25.4,66.6,1076.572083,28.6,67.7,1255.333521,30.3,60.8,1679.672048
34,LT,1,MERSIN2016,,1,DKC6589,LTMERSIN2016DKC65891,BM,DEKALB,11.16,13,15.7,13.59610565,21.7,65.5,890.5646411,26.8,65.5,1207.559008,29.6,65.6,1416.154616,30,64.4,1499.506342
35,LT,1,MERSIN2019,,1,DKC6589,LTMERSIN2019DKC65891,NA,NA,NA,NA,NA,NA,23.3,59.9,1140.338467,27,66.7,1179.277179,28.9,62.6,1478.926321,30,61.7,1613.232947
36,LT,1,SAKARYA2019,,1,DKC6589,LTSAKARYA2019DKC65891,NA,NA,NA,NA,NA,NA,20,62.5,872.2403524,23.7,68.7,911.725847,23.5,67,949.7790587,23.9,69.1,910.9231481
37,LT,1,ADANA2015,,1,H22,LTADANA2015H221,NA,NA,NA,NA,NA,NA,22.5,64.8,953.8388868,25,69.6,956.9160889,28.4,69.8,1160.224222,30,63.4,1541.627307
38,LT,1,ADANA2016,,1,H22,LTADANA2016H221,AM,0,14.569,10,11.8,19.21075116,21.6,69.3,787.6619206,27.1,66.1,1207.562683,29.5,67.5,1330.284186,29.9,69,1298.303609
39,LT,1,ADANA2017,,1,H22,LTADANA2017H221,NA,NA,11.47,10,17.2,14.19841196,21.8,68.8,810.2961797,26.2,69.1,1044.129697,30.4,64.4,1534.139224,29.9,67.5,1361.124752
